Date,Num Highs,Num Lows,Strength
2014-04-07,189,8,95.93908629441624
2014-04-08,201,6,97.10144927536231
2014-04-09,235,4,98.32635983263596
2014-04-10,165,13,92.69662921348316
2014-04-11,131,17,88.51351351351352
2014-04-14,152,16,90.47619047619048
2014-04-15,171,13,92.93478260869566
2014-04-16,205,10,95.34883720930232
2014-04-17,211,12,94.61883408071748
2014-04-21,211,13,94.19642857142856
2014-04-22,228,9,96.20253164556962
2014-04-23,223,11,95.2991452991453
2014-04-24,219,8,96.47577092511013
2014-04-25,194,12,94.1747572815534
2014-04-28,198,13,93.8388625592417
2014-04-29,203,14,93.5483870967742
2014-04-30,215,12,94.7136563876652
2014-05-01,216,11,95.15418502202644
2014-05-02,217,11,95.17543859649122
2014-05-05,209,12,94.57013574660633
2014-05-06,190,16,92.23300970873788
2014-05-07,216,17,92.7038626609442
2014-05-08,211,21,90.94827586206895
2014-05-09,209,19,91.66666666666666
2014-05-12,229,13,94.62809917355372
2014-05-13,230,11,95.4356846473029
2014-05-14,211,15,93.36283185840708
2014-05-15,185,20,90.2439024390244
2014-05-16,196,19,91.16279069767442
2014-05-19,202,19,91.4027149321267
2014-05-20,183,23,88.83495145631069
2014-05-21,195,22,89.86175115207374
2014-05-22,201,19,91.36363636363636
2014-05-23,218,18,92.3728813559322
2014-05-27,243,16,93.82239382239382
2014-05-28,242,18,93.07692307692308
2014-05-29,252,17,93.68029739776952
2014-05-30,258,17,93.81818181818184
2014-06-02,260,17,93.86281588447652
2014-06-03,263,15,94.6043165467626
2014-06-04,263,13,95.28985507246377
2014-06-05,279,11,96.20689655172414
2014-06-06,291,11,96.35761589403974
2014-06-09,291,11,96.35761589403974
2014-06-10,287,11,96.30872483221476
2014-06-11,274,13,95.47038327526133
2014-06-12,264,13,95.30685920577618
2014-06-13,270,13,95.40636042402826
2014-06-16,270,13,95.40636042402826
2014-06-17,279,11,96.20689655172414
2014-06-18,291,9,97.0
2014-06-19,300,10,96.7741935483871
2014-06-20,304,11,96.5079365079365
